"Variable","Month","Default","Scenario","Reduction"
"WhaleDensity","1",846.296065539572,846.296065539572,0
"WhaleDensity","2",813.977892165061,813.977892165061,0
"WhaleDensity","3",1040.46587045832,1040.46587045832,0
"WhaleDensity","4",1437.31422706771,1437.31422706771,0
"WhaleDensity","5",1230.54730433545,1230.54730433545,0
"WhaleDensity","6",622.36899236401,622.36899236401,0
"WhaleDensity","7",352.25048544826,352.25048544826,0
"WhaleDensity","8",28.3431768061788,28.3431768061788,0
"WhaleDensity","9",46.7650246764458,46.7650246764458,0
"WhaleDensity","10",152.343922291696,152.343922291696,0
"WhaleDensity","11",322.711118658845,322.711118658845,0
"WhaleDensity","12",520.686537924249,520.686537924249,0
"WhaleDensity","Total",7414.0706177358,7414.0706177358,0
"GearFished_PostReduction","1",734872.39526373,723720.842581847,0.0151748150478307
"GearFished_PostReduction","2",515843.403915339,504436.143889367,0.0221138041882258
"GearFished_PostReduction","3",494364.986859259,484972.835162841,0.0189984160409228
"GearFished_PostReduction","4",699674.123747712,686914.212323099,0.0182369348694295
"GearFished_PostReduction","5",1014037.00245958,959189.420382101,0.0540883438616544
"GearFished_PostReduction","6",1377487.06641571,1355526.44284324,0.0159425261462611
"GearFished_PostReduction","7",1770638.26511721,1748117.44134366,0.0127190427413797
"GearFished_PostReduction","8",1944675.3211847,1922382.83755873,0.0114633447461003
"GearFished_PostReduction","9",1962098.034311,1943688.42751139,0.00938261314046518
"GearFished_PostReduction","10",1965957.17692315,1947153.38039775,0.00956470300885603
"GearFished_PostReduction","11",1653531.44763236,1640107.40003271,0.00811841082240639
"GearFished_PostReduction","12",1101908.03992722,1087634.71124238,0.0129532848183821
"GearFished_PostReduction","Total",15235087.263757,15003844.0952691,0.01517832910862
"GearFished_PostCap","1",734872.39526373,723720.842581847,0.0151748150478307
"GearFished_PostCap","2",515843.403915339,504436.143889367,0.0221138041882258
"GearFished_PostCap","3",494364.986859259,484972.835162841,0.0189984160409228
"GearFished_PostCap","4",699674.123747712,686914.212323099,0.0182369348694295
"GearFished_PostCap","5",1014037.00245958,959189.420382101,0.0540883438616544
"GearFished_PostCap","6",1377487.06641571,1355526.44284324,0.0159425261462611
"GearFished_PostCap","7",1770638.26511721,1748117.44134366,0.0127190427413797
"GearFished_PostCap","8",1944675.3211847,1922382.83755873,0.0114633447461003
"GearFished_PostCap","9",1962098.034311,1943688.42751139,0.00938261314046518
"GearFished_PostCap","10",1965957.17692315,1947153.38039775,0.00956470300885603
"GearFished_PostCap","11",1653531.44763236,1640107.40003271,0.00811841082240639
"GearFished_PostCap","12",1101908.03992722,1087634.71124238,0.0129532848183821
"GearFished_PostCap","Total",15235087.263757,15003844.0952691,0.01517832910862
"GearFished_PostClosure","1",734872.39526373,723497.27850464,0.0154790366768474
"GearFished_PostClosure","2",515843.403915339,504436.143889367,0.0221138041882258
"GearFished_PostClosure","3",494364.986859259,484972.835162841,0.0189984160409225
"GearFished_PostClosure","4",699674.123747712,686914.212323099,0.0182369348694295
"GearFished_PostClosure","5",1014037.00245958,959189.420382101,0.0540883438616543
"GearFished_PostClosure","6",1377487.06641571,1355526.44284325,0.0159425261462609
"GearFished_PostClosure","7",1770638.26511721,1748117.44134366,0.0127190427413797
"GearFished_PostClosure","8",1944675.3211847,1922382.83755873,0.0114633447461004
"GearFished_PostClosure","9",1962098.034311,1943688.42751139,0.00938261314046496
"GearFished_PostClosure","10",1965957.17692315,1946954.38744915,0.0096659223797243
